"","V1","V2","V3","V4"
"1",0.199091652521757,0.190574612039055,0.182235814354465,0.20213645096928
"2",0.143690208633777,0.140244586305626,0.135930874792702,0.145607890129411
"3",0.117237867512222,0.115215257616439,0.111267987087513,0.120055437391763
"4",0.104484977819509,0.101415488169862,0.0983101951903857,0.108008487015423
"5",0.0919308669375593,0.0907272800000052,0.0901198107954394,0.0973676155393769
"6",0.0831622959075022,0.0843980245094358,0.0828534709573243,0.0896035362817456
"7",0.0772062402271576,0.0764672710181058,0.0793151201246577,0.0861796522568319
"8",0.074457702000459,0.0732238844541846,0.0754337747596398,0.0808822254347623
"9",0.0697344463329026,0.0689819194122827,0.0722364914109596,0.0771403226430538
"10",0.0656531492811326,0.065314020295008,0.0711695709429176,0.0754846850307955
