"","V1","V2","V3","V4"
"1",0.182450843325074,0.178240555421874,0.197507835349895,0.204985527976524
"2",0.138018688621148,0.136226437379662,0.142305844168599,0.146489325327165
"3",0.113315085332294,0.114142832053432,0.117627646844026,0.121381324985542
"4",0.101078285529189,0.0996358783042714,0.101571872537522,0.103727577128214
"5",0.0902574896794553,0.0871100436879786,0.0894654116124552,0.0928078755733082
"6",0.0826824782742357,0.0819617951583779,0.0837486319756816,0.0858004293220814
"7",0.0759790540081448,0.077336170413812,0.0757213320820431,0.0787684556276451
"8",0.0705470168273472,0.07105513446014,0.0692574111746934,0.074389439523609
"9",0.0665297476980352,0.0687824729082465,0.0677127736592701,0.0705027035538554
"10",0.0636745461884086,0.0640340982430576,0.062930958724139,0.0663435344628327
